RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
3,20150116,Kvinde,70,70 år ++,Syddanmark,integration,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Gymnasie, HF eller lignende",Ingen,Vil ikke oplyse,Socialdemokraterne,0.9538203299
7,20150116,Mand,65,60-69 år,Syddanmark,manglende job,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,300.000-399.999 kr.,Socialdemokraterne,0.7265024952
10,20150115,Mand,73,70 år ++,Midtjylland,indvandre,Venstre ledet regering,Socialdemokratisk ledet regering,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.7292237305
12,20150118,Kvinde,75,70 år ++,Hovedstaden,terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Venstre,0.7046916973
14,20150115,Mand,74,70 år ++,Syddanmark,indvandring og flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(A) Socialdemokraterne,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.6328451924
18,20150117,Kvinde,55,50-59 år,Nordjylland,ved ikke,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(V) Venstre,,Vil ikke svare,Ingen,Vil ikke oplyse,Venstre,1.1675486940
20,20150115,Mand,66,60-69 år,Midtjylland,Indvandre og It svindlere,Venstre ledet regering,Ved ikke,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.4049160649
23,20150118,Mand,52,50-59 år,Midtjylland,mulig terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,300.000-399.999 kr.,Venstre,1.1685581640
24,20150115,Kvinde,69,60-69 år,Sjælland,integration,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(I) Liberal Alliance,Ved ikke,(O) Dansk Folkeparti,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.4627153029
29,20150115,Kvinde,64,60-69 år,Syddanmark,terrror,Ved ikke,Ved ikke,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,Ingen,300.000-399.999 kr.,Venstre,0.3351068263
