RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight
4;20150312;Mand;72;70++ år;Hovedstaden;100;vækst;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Radikale Venstre;2,3022285456
6;20150313;Kvinde;69;60-69 år;Sjælland;2000;vores regering;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Vil ikke svare;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,7375925446
7;20150317;Kvinde;44;40-49 år;Sjælland;1300;misbrug af sociale ydelser som koster samfundet rigtig dyrt;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;300.000-399.999 kr.;Socialdemokraterne;1,2897229189
8;20150313;Mand;42;40-49 år;Sjælland;103;arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;400.000-499.999 kr.;Venstre;1,4971394532
11;20150316;Mand;40;40-49 år;Syddanmark;500;At skabe job;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;4 børn ++;800.000-899.999 kr.;Venstre;0,5052887980
16;20150312;Mand;58;50-59 år;Hovedstaden;2199;At vi risikerer at få Lars Løkke Rasmussen som statsminister! Den voksende ulighed!;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Enhedslisten;0,4346631580
17;20150312;Mand;79;70++ år;Hovedstaden;.;fÅ FOLK TIL AT VIRKE DET GÆLDER ALLE, INDFØDTE OG TILFLYTTERE, INTET ER SÅ GODT SOM AT VIRKE.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Anden uddannelse;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,9843836433
22;20150312;Kvinde;32;30-39 år;Midtjylland;103;Arbejdsløshed;Venstre ledet regering;Socialdemokratisk ledet regering;Venstre ledet regering;(F) Socialistisk Folkeparti - SF;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Radikale Venstre;3,0067845221
23;20150314;Kvinde;38;30-39 år;Midtjylland;602;At man er ved at ødelægge den danske folkeskole, med en underfinansieret folkeskolereform;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;(A) Socialdemokraterne;Ved ikke;(Ø) Enhedslisten;Mellemlang videregående 3-4 år;2 børn;800.000-899.999 kr.;Enhedslisten;0,7891202021
26;20150313;Mand;66;60-69 år;Midtjylland;100;Økonomien;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;600.000-699.999 kr.;Socialdemokraterne;0,3307462974
