RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight;redprediction;blueprediction;swingprediction;latedecprediction
4;20150312;Mand;19;18-29 år;Hovedstaden;900;indvandring;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Havde ikke stemmeret;Vil ikke stemme;(I) Liberal Alliance;Grundskole;Ingen;100.000-199.999 kr.;Liberal Alliance (tidligere Ny Alliance);3,0067845221;0.140018462776269;0.34591203278659;0.558774146883218;0.286033661503476
6;20150313;Mand;21;18-29 år;Sjælland;.;de unge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;100.000-199.999 kr.;Enhedslisten;2,3687051619;0.166566806047164;0.319618207985936;0.541447208718679;0.364284715637684
7;20150317;Mand;26;18-29 år;Hovedstaden;507;At der ikke står så mange mennesker uden nogen form for forsørgelse.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;100.000-199.999 kr.;Enhedslisten;2,2894216042;0.23942208406476;0.266553339850966;0.501040709852297;0.487879277502304
8;20150313;Kvinde;26;18-29 år;Hovedstaden;900;integration;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;100.000-199.999 kr.;Enhedslisten;2,7668025846;0.325979052054121;0.199878243817195;0.485937795432999;0.371243878938897
11;20150316;Mand;18;18-29 år;Syddanmark;700;Miljøet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;(A) Socialdemokraterne;;Grundskole;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,6705341369;0.0960495094235631;0.509664519950566;0.485477563983058;0.554465984692425
16;20150312;Kvinde;19;18-29 år;Nordjylland;506;Ungdomsarbejdsløshef;Ved ikke;Venstre ledet regering;Venstre ledet regering;Stemte ikke;Ved ikke;(A) Socialdemokraterne;Grundskole;Ingen;Under 100.000 kr.;Socialdemokraterne;2,2773258011;0.140731764461838;0.400955091403491;0.478666175287724;0.344097543111555
17;20150312;Kvinde;28;18-29 år;Syddanmark;1200;Kriminalitet;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,8665262200;0.361707129921297;0.186349220893509;0.471069558823894;0.204372426944077
22;20150312;Mand;32;30-39 år;Hovedstaden;1405;"Mangel på arbejdspladser og fraflytning fra ""udkantsdanmark"".";Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Husker ikke;Ved ikke;(A) Socialdemokraterne;Grundskole;Ingen;100.000-199.999 kr.;Socialdemokraterne;1,8754774584;0.327321982158689;0.22345565952506;0.458679707609335;0.480720290038926
23;20150314;Mand;22;18-29 år;Sjælland;900;indvandre;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;Husker ikke;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Venstre;2,5151571187;0.132680767859331;0.469590925943064;0.456186345045977;0.58279658957283
26;20150313;Mand;21;18-29 år;Midtjylland;900;Flygtninge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(A) Socialdemokraterne;;Grundskole;Ingen;500.000-599.999 kr.;Socialdemokraterne;1,8291646956;0.121567844552396;0.484894838126862;0.447877348631904;0.325728234967839
